City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Rikitea,-23.12,-134.97,73.92,86,95,24.0,PF,1604281811
Ushuaia,-54.8,-68.3,57.2,54,75,3.36,AR,1604281801
Redwater,33.36,-94.25,57.2,47,1,3.36,US,1604282110
New Norfolk,-42.78,147.06,77.0,30,100,3.0,AU,1604282055
Vanimo,-2.67,141.3,86.52,64,76,6.8,PG,1604281875
Hobart,-42.88,147.33,75.99,52,0,8.05,AU,1604281620
Batemans Bay,-35.72,150.18,69.01,70,69,1.01,AU,1604282111
Sahuaripa,29.05,-109.23,78.73,19,0,8.68,MX,1604282111
Kavieng,-2.57,150.8,86.5,63,10,2.3,PG,1604281857
Barrow,71.29,-156.79,28.4,63,75,21.92,US,1604281795
Albany,42.6,-73.97,39.99,80,97,8.46,US,1604281616
Chapais,49.78,-74.85,32.0,100,90,2.24,CA,1604282112
Puerto Ayora,-0.74,-90.35,69.01,90,100,5.01,EC,1604281833
Araouane,18.9,-3.53,82.22,15,93,6.91,ML,1604281877
Gorakhpur,29.45,75.68,63.57,27,0,2.46,IN,1604281924
Gallatin,45.67,-111.2,46.4,42,1,5.32,US,1604282113
Vaini,-21.2,-175.2,78.8,83,75,10.29,TO,1604281838
Atar,20.52,-13.05,79.79,18,100,7.78,MR,1604282113
Iqaluit,63.75,-68.51,15.8,72,90,3.67,CA,1604281842
Sørland,67.67,12.69,49.84,79,100,26.89,NO,1604281839
Burē,10.7,37.07,54.07,84,50,3.49,ET,1604282115
Carnarvon,-24.87,113.63,71.6,56,40,16.11,AU,1604281820
Teguise,29.06,-13.56,68.0,82,20,10.29,ES,1604282115
Mānsa,29.98,75.38,61.86,28,0,2.17,IN,1604282115
Portland,45.52,-122.68,60.8,41,1,8.05,US,1604281734
Laguna,38.42,-121.42,71.6,35,1,2.48,US,1604281837
Longyearbyen,78.22,15.64,35.6,69,0,28.86,SJ,1604281875
Pevek,69.7,170.31,13.93,96,100,8.25,RU,1604281821
Inhambane,-23.86,35.38,69.8,78,74,6.49,MZ,1604281846
Busselton,-33.65,115.33,60.01,88,98,5.08,AU,1604281844
Sānchor,24.76,71.77,71.33,29,0,1.86,IN,1604282117
Carballo,43.21,-8.69,66.2,82,0,14.99,ES,1604281840
Tiznit Province,29.58,-9.5,68.04,28,0,2.82,MA,1604282117
Stornoway,58.21,-6.39,48.2,81,37,13.87,GB,1604281879
Banjar,-8.19,114.97,89.22,50,70,3.33,ID,1604282118
Dikson,73.51,80.55,18.0,98,90,8.41,RU,1604281846
Saint-Augustin,51.23,-58.65,38.43,78,100,18.21,CA,1604282057
Dunedin,-45.87,170.5,53.01,69,51,21.99,NZ,1604281880
Kapaa,22.08,-159.32,80.6,78,75,11.41,US,1604281901
Borogontsy,62.67,131.17,-8.46,86,0,1.34,RU,1604282119
Ilulissat,69.22,-51.1,19.4,67,100,6.93,GL,1604281813
Jamestown,42.1,-79.24,35.01,92,90,13.87,US,1604281590
Saint Paul Harbor,57.79,-152.41,30.2,39,90,14.99,US,1604281840
Tasiilaq,65.61,-37.64,28.4,74,0,4.7,GL,1604281789
Marawi,8.0,124.29,86.0,71,89,4.0,PH,1604281859
Saldanha,-33.01,17.94,64.4,63,0,3.36,ZA,1604281835
East London,-33.02,27.91,64.09,83,45,14.09,ZA,1604281838
Iguaí,-14.76,-40.09,68.81,93,96,4.47,BR,1604282121
Fuerte Olimpo,-21.04,-57.87,72.54,57,8,3.83,PY,1604282121
Gualan,15.13,-89.37,73.47,83,75,2.53,GT,1604282121
Atuona,-9.8,-139.03,77.54,78,83,13.38,PF,1604281824
Castro,-24.79,-50.01,48.94,97,24,7.38,BR,1604281861
Magomeni,-6.8,39.25,71.6,94,40,8.05,TZ,1604282122
Yulara,-25.24,130.99,91.4,11,0,13.87,AU,1604281856
Punta Arenas,-53.15,-70.92,51.8,76,0,3.36,CL,1604281800
Ixtapa,20.7,-105.2,76.48,85,11,0.51,MX,1604281808
Grindavik,63.84,-22.43,35.6,74,75,8.05,IS,1604281838
Rousínov,49.2,16.88,51.01,100,90,3.36,CZ,1604282123
Victor Harbor,-35.57,138.62,78.01,53,26,1.01,AU,1604282123
Herat Province,34.5,62.0,39.2,25,0,2.24,AF,1604282123
Te Anau,-45.42,167.72,60.64,39,17,0.89,NZ,1604282124
Aripuanã,-9.17,-60.63,71.65,98,100,2.46,BR,1604281891
Port Lincoln,-34.73,135.87,77.25,39,43,13.47,AU,1604282124
Lata,40.16,-8.33,64.99,95,93,4.0,PT,1604282125
Faanui,-16.48,-151.75,80.42,79,0,18.92,PF,1604281857
Avarua,-21.21,-159.78,78.8,83,90,14.99,CK,1604281830
Pinawa,50.15,-95.88,33.08,82,100,11.59,CA,1604282117
Sretensk,52.25,117.71,21.61,67,29,8.97,RU,1604282126
Shalinskoye,55.72,93.76,35.33,81,100,9.6,RU,1604282126
Mataura,-46.19,168.86,57.0,61,75,11.01,NZ,1604281834
Departamento de Maldonado,-34.67,-54.92,57.2,87,0,3.36,UY,1604282126
Cape Town,-33.93,18.42,64.0,72,0,8.05,ZA,1604281969
Qaanaaq,77.48,-69.36,2.79,74,0,6.31,GL,1604281830
Yellowknife,62.46,-114.35,12.2,85,75,18.34,CA,1604281837
Cauquenes,-35.97,-72.32,53.71,77,10,3.06,CL,1604281839
Nakhon Phanom,17.33,104.42,77.0,78,4,1.12,TH,1604282128
El Salvador,13.83,-88.92,80.6,83,20,4.7,SV,1604282128
Phan Thiet,10.93,108.1,79.83,77,100,4.79,VN,1604282128
Mandalgovi,45.76,106.27,23.36,78,0,7.07,MN,1604281851
Makīnsk,52.63,70.42,31.05,95,86,10.4,KZ,1604281858
Butaritari,3.07,172.79,82.24,77,66,9.89,KI,1604281835
Zhalantun,48.0,122.72,23.95,78,100,21.92,CN,1604282129
Matagami,49.75,-77.63,26.6,92,90,22.55,CA,1604281844
Yurkivka,49.01,31.1,45.21,87,100,11.59,UA,1604282129
Kalmunai,7.42,81.82,80.73,74,79,5.59,LK,1604282130
Khatanga,71.97,102.5,6.55,95,100,6.82,RU,1604281804
Merrill,45.18,-89.68,28.4,49,1,5.82,US,1604281831
Kjøllefjord,70.95,27.35,43.21,85,100,24.14,NO,1604282130
Chui,-33.7,-53.46,52.92,85,0,4.81,UY,1604281843
Acapulco de Juárez,16.86,-99.89,80.82,77,80,5.79,MX,1604281857
Mount Gambier,-37.83,140.77,78.8,36,15,13.87,AU,1604282131
Santa Barbara,34.73,-120.03,78.8,21,1,6.93,US,1604281917
Ribeira Grande,38.52,-28.7,63.07,75,57,18.3,PT,1604282131
Isla Mujeres,21.23,-86.73,77.0,88,40,10.29,MX,1604282132
Price,39.6,-110.81,53.6,25,1,5.82,US,1604282132
Port Alfred,-33.59,26.89,64.69,81,33,17.38,ZA,1604282132
Lebyazh'ye,55.27,66.49,28.65,97,0,4.45,RU,1604282132
Bengkulu,-3.8,102.27,79.47,81,100,1.07,ID,1604281834
